Sigla do Cliente;Nome do cliente;Código do cliente;SE;Número do contrato;Status do contrato no ERP;CNPJ do Cliente;CDIP de Abrangência;e-Carta Integração;Armazenamento;Prazo de Armazenamento;Status do contrato no SGD;Fragmentação
CEH;CRECI 15 REGIAO;1547;SUPERINTENDENCIA ESTADUAL CE  ;9912531547;Ativo;09420282000150;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
MTP;CRECI 19 REGIAO MATO GROSSO;9473;SUPERINTENDENCIA ESTADUAL MT  ;9912599473;Ativo;14921282000174;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
PIC;CRECI 23 REGIAO;7962;SUPERINTENDENCIA ESTADUAL PI  ;9912447962;Ativo;05805775000158;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
MHC;CRECI 4 REGIAO;1311;SUPERINTENDENCIA ESTADUAL MG  ;9912461311;Ativo;17481268000195;CDIP - Curitiba;Sim;Não;0;Ativo;Não
SJ;CRED SYSTEM ADM CARTOES CREDITO;4603;SUPERINTENDENCIA ESTADUAL SPM ;9912254603;Ativo;04670195000138;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SXU;CRED SYSTEM ADM CARTOES CREDITO LTDA;4604;SUPERINTENDENCIA ESTADUAL SPM ;9912254603;Ativo;04670195000138;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
JC;CREDI-SHOP S/A - ADM. DE CARTÕES;5817;SUPERINTENDENCIA ESTADUAL PI  ;9912427786;Ativo;62895230000113;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
PRT;CREDPAGO SERVICOS DE COBRANCA S A;3870;SUPERINTENDENCIA ESTADUAL PR  ;9912443870;Ativo;25027928000190;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
CED;CREF 05;935;SUPERINTENDENCIA ESTADUAL CE  ;9912450935;Ativo;03567753000171;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
PAG;CREF 18 PA/AP;3513;SUPERINTENDENCIA ESTADUAL PA  ;9912577465;Ativo;23532458000197;Desativado CDIP/BSB2;Não;Sim;30;Ativo;Não
SQN;CREFISA SA CRED FINANC E INVES;2612;SUPERINTENDENCIA ESTADUAL SPM ;9912326126;Ativo;60779196000196;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
STH;CREFISA SA CRED FINANC E INVESTIMENTOS;3261;SUPERINTENDENCIA ESTADUAL SPM ;9912326126;Ativo;60779196000196;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MIP;CREFITO 4 - MIP;3114;SUPERINTENDENCIA ESTADUAL MG  ;9912573114;Ativo;21947619000188;CDIP - Curitiba;Não;Sim;180;Ativo;Não
RRX;CREFITO 5;295;SUPERINTENDENCIA ESTADUAL RS  ;9912430295;Ativo;90601147000120;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
PFO;CREFITO 8 PR - PFO;1588;SUPERINTENDENCIA ESTADUAL PR  ;9912321588;Ativo;68576800000199;CDIP - Curitiba;Sim;Sim;180;Ativo;Não
PES;CREMEPE;8059;SUPERINTENDENCIA ESTADUAL PE  ;9912448059;Ativo;09790999000194;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Não
RJC;CREMERJ;7259;SUPERINTENDENCIA ESTADUAL RJ  ;9912397259;Ativo;31027527000133;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SRU;CREMESP;7860;SUPERINTENDENCIA ESTADUAL SPM ;9912337860;Ativo;63106843000197;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
;CRIXAS PREF GABINETE DO PREFEITO;8076;SUPERINTENDENCIA ESTADUAL GO  ;9912538076;Ativo;02382067000163;Desativado CDIP/BSB2;Sim;Não;;Ativo;Não
MTM;CRM MT;8796;SUPERINTENDENCIA ESTADUAL MT  ;9912348796;Ativo;03008521000183;Desativado CDIP/BSB2;Sim;Sim;120;Ativo;Não
GPV;CRMV GO;8792;SUPERINTENDENCIA ESTADUAL GO  ;9912538792;Ativo;01665769000191;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
SXN;CRMV SP;3874;SUPERINTENDENCIA ESTADUAL SPM ;9912283873;Ativo;50052885000140;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SUI;CRN 3;8994;SUPERINTENDENCIA ESTADUAL SPM ;9912548994;Ativo;44407989000128;CDIP/SPM4;Sim;Sim;30;Ativo;Não
SDC;CRN 4;8420;SUPERINTENDENCIA ESTADUAL RJ  ;9912448420;Ativo;30892350000170;CDIP/SPM4;Sim;Sim;30;Ativo;Não
PEU;CRN 6;8324;SUPERINTENDENCIA ESTADUAL PE  ;9912268324;Ativo;11674272000193;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
PZH;CRN 8;3111;SUPERINTENDENCIA ESTADUAL PR  ;9912623111;Ativo;07801011000110;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
MBD;CRN 9-MG - MBD;6973;SUPERINTENDENCIA ESTADUAL MG  ;9912396973;Cancelado;08641589000119;CDIP - Curitiba;Não;Sim;180;Ativo;Não
RXC;CRO RS;2641;SUPERINTENDENCIA ESTADUAL RS  ;9912252641;Ativo;93012987000145;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Não
PZB;CRQ 9 PR PZB;5726;SUPERINTENDENCIA ESTADUAL PR  ;9912560890;Ativo;76471358000164;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
SPF;CRTSP;9271;SUPERINTENDENCIA ESTADUAL SPM ;9912469271;Cancelado;33093248000101;Desativado - CDIP/SPM3;Sim;Sim;90;Ativo;Não
CR;(CR-116) BANCO ITAUCARD;116;SUPERINTENDENCIA ESTADUAL SPM ;9912257207;Ativo;60701190000104;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
FC;CSTT - COMPANHIA DE SEGUR E TRANSP;5814;SUPERINTENDENCIA ESTADUAL BA  ;9912285814;Suspenso;13430101000144;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
CM;CSU CARD SYSTEM;50;SUPERINTENDENCIA ESTADUAL MG  ;9912257946;Ativo;01896779000138;CDIP - Curitiba;Não;Sim;180;Ativo;Não
LR;CSU CARDSYSTEM SA;8095;SUPERINTENDENCIA ESTADUAL MG  ;9912257946;Ativo;01896779000138;CDIP - Curitiba;Não;Sim;180;Ativo;Não
LF;CTMAC MACAPA - MULTAS;570;SUPERINTENDENCIA ESTADUAL AP  ;9912512773;Ativo;15144495000108;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
SYY;CURADEN SWISS DO BRASIL IMPORT E EXP L;1999;SUPERINTENDENCIA ESTADUAL SPM ;9912281999;Ativo;07791616000177;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RXS;DAER RS;7718;SUPERINTENDENCIA ESTADUAL RS  ;9912397719;Ativo;92883834000100;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
SCD;DANIEL ELIAS GARCIA;7634;SUPERINTENDENCIA ESTADUAL SC  ;9912547634;Ativo;27874310000191;Desativado - CDIP/FLN2;Sim;Não;0;Ativo;Não
SYT;DEARO EMPREENDIMENTOS FUNERARIOS EIRELI;5986;SUPERINTENDENCIA ESTADUAL SPI ;9912575986;Ativo;27319783000127;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
FQ;DEBETRAN  (A/C ILIANES);67;SUPERINTENDENCIA ESTADUAL PR  ;9912341598;Cancelado;77816510000166;CDIP - Curitiba;Não;Sim;180;Ativo;Não
STC;DECEA DEPART DE CONTROLE DO ESPACO AEREO;3976;SUPERINTENDENCIA ESTADUAL RJ  ;9912516122;Ativo;00394429004874;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
IH;DELEG REC FEDERAL BR CAMPINAS SP;6321;SUPERINTENDENCIA ESTADUAL SPI ;9912296321;Suspenso;00394460012158;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
DH;DELEGACIA DA RECEITA FED.  BRASIL - SSA;6907;SUPERINTENDENCIA ESTADUAL BA  ;9912476903;Ativo;00394460009017;Desativado CDIP/BSB2;Não;Não;;Ativo;Não
RZ;DELEGACIA DA RECEITA FEDERALCAMPO GRANDE;7018;SUPERINTENDENCIA ESTADUAL MS  ;9912350648;Cancelado;00394460006697;CDIP - Curitiba;Não;Sim;;Ativo;Não
RRU;DELTA ASSIST;8774;SUPERINTENDENCIA ESTADUAL RS  ;9912388774;Ativo;23218039000185;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
PZI;DENTAL MED SUL ARTIGOS ODONTOLOGICOS LTD;339;SUPERINTENDENCIA ESTADUAL PR  ;9912290339;Ativo;02477571000147;CDIP - Curitiba;Não;Sim;30;Ativo;Não
GA;DENTAL MORELLI LTDA;6748;SUPERINTENDENCIA ESTADUAL SPI ;9912246748;Ativo;65441255000135;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Sim
PEG;DEP DE ESTRADAS DE RODAGEM DO EST PE;4431;SUPERINTENDENCIA ESTADUAL PE  ;9912544431;Suspenso;11554474000100;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Sim
DO;DEP. ESTADUAL DE TRANSITO - DETRAN;4125;SUPERINTENDENCIA ESTADUAL MA  ;9912397464;Ativo;06293120000100;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
DD;DEP. ESTADUAL DE TRANSITO - DETRAN/TO;1;SUPERINTENDENCIA ESTADUAL TO  ;393/2003;;26752857000151;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
RXI;DEP MUN LIMP URBANA;1475;SUPERINTENDENCIA ESTADUAL RS  ;9912511475;Ativo;88017272000145;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
PRZ;DEPART DE ESTRADAS DE RODAGEM PR - PRZ;3903;SUPERINTENDENCIA ESTADUAL PR  ;9912373903;Ativo;76669324000189;CDIP - Curitiba;Não;Sim;30;Ativo;Não
RE;DEPART ESTR RODAGEM DO ESTADO ES DER ES;5886;SUPERINTENDENCIA ESTADUAL ES  ;9912415886;Ativo;04889717000197;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RSJ;Departamento Autônomo de Estradas de Rod;7719;SUPERINTENDENCIA ESTADUAL RS  ;9912397719/2016;Cancelado;92883834000100;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
DT;DEPARTAMENTO DE TRANSITO DO DF;1002;SUPERINTENDENCIA ESTADUAL BSB ;9912270820;Ativo;00475855000179;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
ZV;DEPARTAMENTO DE TRANSITO DO ESTADO DO RJ;1782;SUPERINTENDENCIA ESTADUAL RJ  ;9912548780;Ativo;30295513000138;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
PY;DEPARTAMENTO DE TRANSITO PERNAMBUCO;107;SUPERINTENDENCIA ESTADUAL PE  ;9912661814;Ativo;09753781000160;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
OC;DEPARTAMENTO ESTADUAL DE TRÂNSITO - PI;8251;SUPERINTENDENCIA ESTADUAL PI  ;9912513790;Cancelado;06535926000168;Desativado - CDIP/SPM3;Sim;Sim;30;Cancelado;Não
BD;Departamento Estadual de Trânsito de Ala;2006;SUPERINTENDENCIA ESTADUAL AL  ;9912246036;Ativo;04302189000128;Desativado - CDIP/FLN2;Sim;Sim;180;Ativo;Sim
DJ;DEPARTAMENTO ESTADUAL DE TRÂNSITO DE RO;6609;SUPERINTENDENCIA ESTADUAL RO  ;9912252608;Ativo;15883796000145;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
BL;DEPARTAMENTO ESTADUAL DE TRÂNSITO DO RN;7431;SUPERINTENDENCIA ESTADUAL RN  ;9912504137;Ativo;08285769000105;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
ROD;DEPARTAMENTO ESTADUAL DE TRANSITO RO;1449;SUPERINTENDENCIA ESTADUAL RO  ;9912252608;Ativo;15883796000145;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
AC;DEPARTAMENTO NACIONAL DE PRODUCAO MINERA;8280;SUPERINTENDENCIA ESTADUAL BSB ;9912330528;Ativo;29406625000130;Desativado CDIP/BSB2;Sim;Sim;60;Ativo;Sim
RNH;DEPOSITO FECHADO UNIMED NATAL - RNH;8547;SUPERINTENDENCIA ESTADUAL RN  ;9912658547;Ativo;08380701001934;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
RX;DEPTO DE ESTR. ROD DO ESTADO DO PR - RX;53;SUPERINTENDENCIA ESTADUAL PR  ;9912373903;Ativo;76669324000189;CDIP - Curitiba;Não;Sim;180;Ativo;Não
ESV;DEPTO EST TRANSITO ESPIRITO SANTO;6152;SUPERINTENDENCIA ESTADUAL ES  ;9912326151;Ativo;28162105000166;Desativado - CDIP/SPM3;Não;Sim;0;Ativo;Não
RRG;DEPUBLICA;967;SUPERINTENDENCIA ESTADUAL RS  ;9912250967;Ativo;74704636000150;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
SEB;DER;4634;SUPERINTENDENCIA ESTADUAL SE  ;9912464634;Ativo;07555286000110;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
DW;DER ALAGOAS;3481;SUPERINTENDENCIA ESTADUAL AL  ;9912325299;Ativo;12201034000123;Desativado - CDIP/FLN2;Não;Sim;90;Ativo;Não
DL;DER MG - RENAINF;30;SUPERINTENDENCIA ESTADUAL MG  ;9912339158;Ativo;17309790000194;CDIP - Curitiba;Não;Sim;180;Ativo;Não
HH;DETRAN;2001;SUPERINTENDENCIA ESTADUAL AL  ;9912246036;Ativo;04302189000128;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
HS;DETRAN;2005;SUPERINTENDENCIA ESTADUAL AL  ;9912246036;Ativo;04302189000128;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
PFS;DETRAN;4926;SUPERINTENDENCIA ESTADUAL PE  ;9912284926;Ativo;09753781000160;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
KG;DETRAN;9492;SUPERINTENDENCIA ESTADUAL AM  ;9912319492;Ativo;04224028000163;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
RSB;DETRAN;4060;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
DN;DETRAN;2003;SUPERINTENDENCIA ESTADUAL AL  ;9912246036;Ativo;04302189000128;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
ACD;DETRAN;9360;SUPERINTENDENCIA ESTADUAL ACR ;9912339360;Ativo;01005762000143;Desativado CDIP/BSB2;Sim;Sim;180;Ativo;Não
MN;DETRAN;602;SUPERINTENDENCIA ESTADUAL AM  ;9912319492;Ativo;04224028000163;Desativado CDIP/BSB2;Não;Não;;Ativo;Não
CEP;DETRAN;5013;SUPERINTENDENCIA ESTADUAL CE  ;9912255013;Ativo;07135668000195;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
LD;DETRAN;2004;SUPERINTENDENCIA ESTADUAL AL  ;9912246036;Ativo;04302189000128;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
BAT;DETRAN;7214;SUPERINTENDENCIA ESTADUAL BA  ;9912267211;Ativo;13195920000154;Desativado CDIP/BSB2;Sim;Sim;180;Ativo;Sim
RSC;DETRAN;4061;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
ER;DETRAN - COMISSÃO DE LEILÃO;8578;SUPERINTENDENCIA ESTADUAL PR  ;9912288571;Ativo;78206513000140;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
EF;DETRAN - DEPARTAMENTO DE TRÂNSITO - EF;8571;SUPERINTENDENCIA ESTADUAL PR  ;9912288571;Ativo;78206513000140;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
VN;DETRAN - MT AUTUAÇÃO;4417;SUPERINTENDENCIA ESTADUAL MT  ;9912314417;Ativo;03829702000170;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
HK;DETRAN - MT ENTREGA CNH;3417;SUPERINTENDENCIA ESTADUAL MT  ;9912314417;Ativo;03829702000170;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
VM;DETRAN - MT LEILÃO VEICULOS;7417;SUPERINTENDENCIA ESTADUAL MT  ;9912314417;Ativo;03829702000170;Desativado CDIP/BSB2;Não;Não;;Ativo;Não
HN;DETRAN - MT NOTIFICAÇÃO CNH;1417;SUPERINTENDENCIA ESTADUAL MT  ;9912314417;Ativo;03829702000170;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
DZ;DETRAN - PR (PID) - DZ;47;SUPERINTENDENCIA ESTADUAL PR  ;9912288571;Ativo;78206513000140;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
DC;DETRAN - RN - CNH;2;SUPERINTENDENCIA ESTADUAL RN  ;9912504137;Ativo;08285769000105;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
DX;DETRAN - RN - NOTIFICAÇÕES;1;SUPERINTENDENCIA ESTADUAL RN  ;9912504137;Ativo;08285769000105;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
EP;DETRAN AMAPÁ - MULTAS;8485;SUPERINTENDENCIA ESTADUAL AP  ;9912514983;Ativo;11633713000109;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
VF;DETRAN ES;6151;SUPERINTENDENCIA ESTADUAL ES  ;9912326151;Ativo;28162105000166;Desativado - CDIP/SPM3;Sim;Não;0;Ativo;Não
GOD;DETRAN GO;8814;SUPERINTENDENCIA ESTADUAL GO  ;9912488814;Ativo;02872448000120;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
PAP;DETRAN PARA;1737;SUPERINTENDENCIA ESTADUAL PA  ;9912531737;Ativo;04822060000140;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
PB;DETRAN PARAIBA;1615;SUPERINTENDENCIA ESTADUAL PB  ;9912469455;Ativo;09188376000146;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
RRT;DETRAN RJ;5536;SUPERINTENDENCIA ESTADUAL RJ  ;9912705536;Ativo;30295513000138;CDIP/SPM4;Não;Sim;180;Ativo;Não
OD;DETRAN RR;2928;SUPERINTENDENCIA ESTADUAL RR  ;9912438383;Ativo;22900328000105;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
RRD;DETRAN RR;8383;SUPERINTENDENCIA ESTADUAL RR  ;9912438383;Ativo;22900328000105;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
DE;DETRAN/ACR;1932;SUPERINTENDENCIA ESTADUAL ACR ;9912339360;Ativo;01005762000143;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
RSO;DETRAN-ARD-42;4067;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
WE;DETRAN/BA - LEILAO;7213;SUPERINTENDENCIA ESTADUAL BA  ;9912267211;Ativo;13195920000154;Desativado CDIP/BSB2;Não;Não;;Ativo;Não
WB;DETRANBACAPH;7212;SUPERINTENDENCIA ESTADUAL BA  ;9912267211;Ativo;13195920000154;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
WA;DETRANBACMUL;7211;SUPERINTENDENCIA ESTADUAL BA  ;9912267211;Ativo;13195920000154;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
RSR;DETRAN-DIVHAB-53;4068;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Sim
RST;DETRAN-GFICDA-38;4066;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
RSV;DETRAN-INSS-34;4064;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
VY;DETRAN/MT - CRLV;6417;SUPERINTENDENCIA ESTADUAL MT  ;9912314417;Ativo;03829702000170;Desativado CDIP/BSB2;Não;Sim;30;Ativo;Não
RSZ;DETRAN-NIT-40;4062;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
RSX;DETRAN-NJJ-60;4063;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
RSU;DETRAN-NOTIFICACOES-DMI-35;4065;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
DY;DETRAN/PR - DÍVIDA ATIVA - DY;39;SUPERINTENDENCIA ESTADUAL PR  ;9912288571;Ativo;78206513000140;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
DB;DETRAN/PR - NOTIFICAÇÃO/MULTA - DB;40;SUPERINTENDENCIA ESTADUAL PR  ;9912288571;Ativo;78206513000140;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
DI;DETRAN/PR (CNH) - DI;41;SUPERINTENDENCIA ESTADUAL PR  ;9912288571;Ativo;78206513000140;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
TC;DETRAN-RR;2929;SUPERINTENDENCIA ESTADUAL RR  ;9912438383;Ativo;22900328000105;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
RSQ;DETRAN-RVE-70;4069;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
RSP;DETRAN-SDD-52;4070;SUPERINTENDENCIA ESTADUAL RS  ;9912324061;Ativo;01935819000103;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Sim
RI;DETRAN/SE;457;SUPERINTENDENCIA ESTADUAL SE  ;9912325221;Ativo;01560393000150;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
WZ;DETRAN-SE-CNH;5096;SUPERINTENDENCIA ESTADUAL SE  ;9912325221;Ativo;01560393000150;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
XH;DETRAN/SE/GERCAP;5221;SUPERINTENDENCIA ESTADUAL SE  ;9912325221;Ativo;01560393000150;Desativado - CDIP/SPM3;Não;Sim;0;Ativo;Não
RJL;DETRO RJ;7568;SUPERINTENDENCIA ESTADUAL RJ  ;9912517568;Ativo;31940984000114;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
DGF;DF PG GABINETE DO PROCURA;9259;SUPERINTENDENCIA ESTADUAL BSB ;9912349259;Ativo;00394643000167;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Sim
SPH;DHL EXPRESS BRASIL LTDA;2486;SUPERINTENDENCIA ESTADUAL SPM ;9912382486;Ativo;58890252000113;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MGP;DIAMANTINA PREF GAB DO PREFEITO;6267;SUPERINTENDENCIA ESTADUAL MG  ;9912456267;Cancelado;17754136000190;CDIP - Curitiba;Sim;Não;0;Ativo;Não
DFL;DIRECAO GERAL;4989;SUPERINTENDENCIA ESTADUAL BSB ;9912324983;Ativo;00000000000191;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
MGD;DIRECIONAL ENGENHARIA SA;8352;SUPERINTENDENCIA ESTADUAL MG  ;9912318352;Ativo;16614075000100;CDIP - Curitiba;Não;Não;0;Ativo;Não
SDE;DIRECT SHOPPING COMERCIAL LTDA;8924;SUPERINTENDENCIA ESTADUAL SPM ;9912328924;Ativo;00624310000187;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
DGI;DIRETORIA DE ADMINISTRACAO E LOGISTICA;1866;SUPERINTENDENCIA ESTADUAL BSB ;9912571866;Ativo;00489828008059;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
GOF;DIVERSA;5625;SUPERINTENDENCIA ESTADUAL GO  ;9912515625;Suspenso;36127519000182;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
DP;DMT - Senador Canedo Prefeitura Municipa;20;SUPERINTENDENCIA ESTADUAL GO  ;9912239710;Cancelado;25107525000151;Desativado CDIP/BSB2;Não;Sim;180;Cancelado;Não
GL;DMTT – NS das Dores/SE;1065;SUPERINTENDENCIA ESTADUAL SE  ;9912707440;Suspenso;13094446000174;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
DFI;DOCDOCEXPRESS SERVICOS DE IMPRESSAO;15;SUPERINTENDENCIA ESTADUAL BSB ;9912450015;Ativo;17447653000116;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
SXV;DORMA SISTEMAS CONTROLE PARA PORTAS LTDA;9240;SUPERINTENDENCIA ESTADUAL SPM ;9912429240;Ativo;61499281000163;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
RSK;DPTO POLICIA ROD FEDERAL 9 SUPERINT;8831;SUPERINTENDENCIA ESTADUAL RS  ;9912268831;Ativo;00394494011413;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
DS;(DS-1368) DIRECT SHOPPING COMERCIAL LTDA;1368;SUPERINTENDENCIA ESTADUAL SPM ;9912328924;Ativo;00624310000187;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SZX;ECT DR SP SAO PAULO METROPOLITANA;8344;SUPERINTENDENCIA ESTADUAL SPM ;9912311154;Ativo;34028316003129;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
EC;(EC-5184) LCR SERVICOS LTDA ME;5184;SUPERINTENDENCIA ESTADUAL ES  ;9912415184;Ativo;01890148000101;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
PZK;EDITORA APRENDE BRASIL;8093;SUPERINTENDENCIA ESTADUAL PR  ;9912448093;Cancelado;79719613000133;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
SXL;EDITORA MODERNA LTDA;3633;SUPERINTENDENCIA ESTADUAL SPM ;9912313633;Ativo;62136304000138;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RKZ;EGALI;4057;SUPERINTENDENCIA ESTADUAL RS  ;9912334057;Ativo;08777465000165;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
SRG;ELEKTRO REDES SA;2712;SUPERINTENDENCIA ESTADUAL SPI ;9912282712;Ativo;02328280000197;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
AD;EMP BRASILEIRA DE CORREIOS E TELEGRAFOS;9734;SUPERINTENDENCIA ESTADUAL BSB ;9912516241;Ativo;34028316000707;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
AME;EMTU PRESIDENTE FIGUEIREDO;7274;SUPERINTENDENCIA ESTADUAL AM  ;9912587752;Cancelado;03698709000109;Desativado CDIP/BSB2;Sim;Sim;30;Suspenso;Não
OY;ENEL;8339;SUPERINTENDENCIA ESTADUAL SPM ;9912348337;Ativo;61695227000193;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
MU;ENEL S/A;8337;SUPERINTENDENCIA ESTADUAL SPM ;9912348337;Ativo;61695227000193;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
NV;ENEL SA;8338;SUPERINTENDENCIA ESTADUAL SPM ;9912348337;Ativo;61695227000193;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
NV;ENEL SA;8338;SUPERINTENDENCIA ESTADUAL SPM ;9912330024;Cancelado;61695227000193;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
